Espinoza M,Michael Espinoza (Perú),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEglg9eG5pt5-CS3sHQrDIAQBds12bPAK_t5tc0NfRN8m8TpyzWmwRcw30-1olTljOuWxxJC5-qWb8RJUgsn5aolk7Q9VD0OlxaNh3f4FSduiDNk5uW9YhrzqxcnBpskd7dAaZTYbtgap58hD3RhRS7LlVVCNLEbhPTrRt0aTUkOXf3zn-NBoB-GdKtQtumw=w97-h129
Falcón Pérez,Yael Falcón Pérez,En la Copa América 2024 dirigió Costa Rica-Paraguay.,https://blogger.googleusercontent.com/img/a/AVvXsEjiq7yuSksFlcWwQSREWgzM0xve-JJYjXTM745MgMcpZOrpxt_MHe3TQu2fH18im-cXdZV5k93kwMmPPUv8u9SSv7WHhdkqfTiIepaxpGFwL5BeBp9Yql3vIEJeQO6eR-5yzjEBUnsKezwOdLdOLsLl3aGrj9vZaWorvFLZB-w-vvqIcPI5W4tzTgqByjCK
Faraoni,Cristian Faraoni,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjMMrhWzl3cYjnFqnUV4fY5rfctnj3gezVp8GMt9qSI1xOv8Dep1RCuNg_1ZKpsPWlyI33ocrmIUcBCpY1jaNbc54KLFlFSFrD7KnVCRvm1QbNWgBiuXbPlepJJcET2K51EcVHQf4tv2S8EW8-zPuZWv14VgHN2pZk2ZUYv9FZhnP57SdDW0NGiB1N08E5A=w111-h148
Favale,Gabriel Favale,"arbitró en 2011 la caída 0-3 con San Lorenzo, cuando se abrió el partido a partir de la expulsión de Facundo Quiroga y el penal otorgado a los locales.",https://blogger.googleusercontent.com/img/a/AVvXsEjKA3CxQs9MOUBJGdglvD7R7OUsf9YTWjf1Ut9E6IvGO27TrjX39Xakf3T-uRT3_ExYcZVD0919Bgz52kS_b2HedpZnd0CUIOSAxW3jG7WE_yjDXCa5vYlC43BTfmAIHSOvOafxlxx40_jGwrOp4wkfPxKmrESmgxwPcevLcpA-9yqu4p7J4XxriKSi3Mle
Fedorzuck,Daniel Fedorzuck (Uruguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEh5JRrUV4UukagX0gJ8DN2woChH0BmJbtWLEXJ-wkWoDj3OSOOsvWzgAS68kPNNchp789kNYV8S8ApjbGNAXq5KYWf9BEb80UyFLjmwjbrgAy17Uy23sQIyT24eNiv2ET6ytDKoAnfiNma58M7aJZNZfiEXO1seTbPkWRqy5vGWo1pyUy0WmnmjLw5FycVc=w129-h172
Fernández,Anahí Fernández (Uruguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEgx_wfbnJVBYQ7JQSg_P7_x6l3wnmoq6eYsqNk-ahk3jDD9fvODkvWgmJR6jaumyswFvtcyXunJuGFVpi7_SZRswFghWj-iejpTLpkomrs77Cukrir2JeqifLUIzk9Zr2A_ScLcv298Qe1B9zkgsscLvW3zVii_WRjv3U9hAeUhULR7fnwumO64lOGzGZP_
Fuentes,Jonathan Fuentes (Uruguay),sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjjFBW2EMTA-qppNsIVEnbbEuztdyT6EfXZ7S6xoSIwb3nAMK8dzIkIr3Q6PJo-MCUtyLg5bqZWHtNxAqSvh-IoqjZvNnU7g3euWHvNfS19UpgLCCsILlG7sUCU0ugHhz1ZsDCtzJcipVqhrIeHHZf9VA950nduPB5iIviKwJ7irXtqSfDz_DRvGvIZy09c=w132-h176
Furchi,Rafael Furchi,sin datos,https://blogger.googleusercontent.com/img/a/AVvXsEjfyJD9u17HcRiQytf47djs5Kw0UMQoibbthkk7xj6hFIVL0fX4XTiEFbMOg2NZ6l9HAWxZMSV8qMr6qm2pSBlQLhPWTCerRv6hrkIC1ESd2ewNDL7SUfzocuELkzRgtxMzUmbzFN1Jc-OqRKoNxS1XVvQwwZ1UqnAEREqDwExo21EpHiJeet2SPHmZNvAd=w131-h176
Garay,Cristian Garay (Chile),Dirigió en la Copa América 2024 a Ecuador-Jamaica.,https://blogger.googleusercontent.com/img/a/AVvXsEg16wS0CvHKpfL60KzNVIxUo5yU49tLGOJWJpr-DNalAs-SrbFweMMI_D8FpUH9dIjRhxGlVtAQ4KBPAmS7hCoDjEMR9liTf5DFf4R1JbxD02yYf2MiMTojIEQyO8-gLFuQoZ2FXVVGLEOuECtsn0kOCel8wUGfpxpq_pw0GRoq_th9q8PPOe_s9ozcN5rb
Gariano,Andrés Gariano,Carlos Andrés Gariano,https://blogger.googleusercontent.com/img/a/AVvXsEg4Vm9WY_idTi7ZnI6Kx47qDrr4Tvj4z9ssW5Iu_hGxtWvqq8IqlXMX5qieK3LBiFaw09ODJW8yzHh5MRhZ8PXd67TXYKbxTYjE8V7NPsZX3tRVDsZGNdpk6kBw1mwuL1Xr-QXsUWFCIEHueeMFSU9zULUEBZ_07__YicvnsU_kohvrn4PFpw1-24k7WLlb
